"BusinessEntityID","PersonID","ContactTypeID","rowguid","ModifiedDate"
"292","291","11","7D4D2DBC-4A44-48F5-911D-A63ABAFD5120","2017-12-13 13:21:02"
"294","293","11","3EA25B65-9579-4260-977D-D6F00D7D20EE","2017-12-13 13:21:02"
"296","295","11","DADAC1FF-3351-4827-9AE0-95004885C193","2017-12-13 13:21:02"
"298","297","11","B924F26F-6446-45D1-A92B-6F418374F075","2017-12-13 13:21:02"
"300","299","11","5BA4E7BE-8D29-46A2-B68D-67B1615B124A","2017-12-13 13:21:02"
"302","301","11","6CC8F248-8D96-4AFD-ADCC-61D93E8DE3B1","2017-12-13 13:21:02"
"304","303","11","33B4DA81-4448-481F-BF7C-357EA4D23F21","2017-12-13 13:21:02"
"306","305","11","70D35526-7C2F-470F-98CB-F9299A754F16","2017-12-13 13:21:02"
"308","307","14","DA33B75D-32FB-432D-A275-9E9D32E78F3E","2017-12-13 13:21:02"
"310","309","14","C2DEE145-A902-477E-AB21-29659AC3E97E","2017-12-13 13:21:02"
"312","311","14","4020DEAE-56F6-47DF-96C1-A01F3DE2305C","2017-12-13 13:21:02"
"314","313","14","9EF858DE-EABA-4A53-9B28-FC699D789957","2017-12-13 13:21:02"
"316","315","11","E3F641EA-02D1-4B59-BE3F-97785D4DAB4D","2017-12-13 13:21:02"
"318","317","11","DEB6D69A-7A6C-4820-B48D-67DC990A2A20","2017-12-13 13:21:03"
"320","319","11","C7BBF9BA-A676-41AD-ADC0-64A3190A50AF","2017-12-13 13:21:03"
"322","321","11","299E6EC8-5AA4-4E78-8EF1-35B125523BD3","2017-12-13 13:21:03"
"324","323","11","800EAF50-A564-4A2D-B06B-D920F7780C8B","2017-12-13 13:21:03"
"326","325","11","25CD8C2C-375F-4267-BF52-ACCE99255B42","2017-12-13 13:21:03"
"328","327","14","3F34DD3E-B7D5-4E44-A44C-D85B06299EDD","2017-12-13 13:21:03"
"330","329","14","2B8DADDC-5547-402C-9E88-12B70FF867C5","2017-12-13 13:21:03"
"332","331","11","3E139BDB-4810-464E-9283-DECD32939688","2017-12-13 13:21:03"
"334","333","11","79B81988-81DB-4C09-ABBA-DFD0328105C0","2017-12-13 13:21:03"
"336","335","11","F860BD9F-D951-490E-8180-68647B3AF8FF","2017-12-13 13:21:03"
"338","337","14","FBD31093-D7DA-4E73-A451-65D735AA7A5D","2017-12-13 13:21:03"
"340","339","14","E47DA956-BD09-4538-8C96-A54184103E37","2017-12-13 13:21:03"
"342","341","11","684329F0-A72D-48B8-AB03-DF71CDDE7D06","2017-12-13 13:21:03"
"344","343","11","0E667419-C7BB-4ABA-BE17-78801A6D929C","2017-12-13 13:21:03"
"346","345","14","6324CF53-A7B0-4009-A717-93FBCE96BE49","2017-12-13 13:21:03"
"348","347","14","F264A712-713C-4F49-90E4-F472799D372C","2017-12-13 13:21:03"
"350","349","11","4DA3D351-1BF0-4CE7-933E-49130672217F","2017-12-13 13:21:04"
"352","351","11","A1E6D0FE-3A15-4ACC-B70C-E5C025F8C672","2017-12-13 13:21:04"
